王澜霏	216288
温尚翊	215592
冯曦妤	214598
安心亚	214387
Soler	213459
郑容和（CNBLUE）	213171
CountingCrows	212521
杨嘉松	211691
金池	210685
张萱妍	210001
于瑛楠	209628
邵雨涵	207005
SarahBrightman	206578
陈玉建	205783
彭坦	205710
苏素	205347
慕容晓晓	204538
爱乐团	204535
严艺丹	202033
CarlyRaeJepsen	201495
陈娟儿	200117
Mc炜坤	199683
PapaRoach	199525
Sugarland	199439
陈兴瑜	199233
OwlCity	199147
王梓轩	198475
文章	198151
Eve（欧美）	197851
SaraBareilles	197369
龚玥	197032
Blondie	195946
快乐女声	195516
ShinyToyGuns	195492
毛妮卓玛	195430
少儿歌曲	194966
IAmtheAvalanche	192441
AttackAttack!	191791
Buckcherry	191788
袁惟仁	191489
罗志强	191334
叶子瑄	191082
沈庆	190530
熊天平	190279
王乃恩	189691
MotleyCrue	189082
棒棒堂	188832
汤潮	187062
P.O.D.	185958
Crossfade	185382
DearJane	184164
信	184055
歌浴森	183946
龙井说唱	181940
爱情公寓	180286
杨秀措	178874
姜玉阳	177566
Lenka	177177
MC梦	176250
金秀贤	175523
GwenSebastian	175510
黑龙	175334
郑爽	173805
宁桓宇	173460
高进	172759
东城卫	172127
许巍	171401
姚嘉儿	170992
王熙然	170723
王若琳	170322
卫兰	168835
Sabrina	167360
贾南	167115
厉娜	166982
姚瑶	166854
谢容儿	165905
郝云	165100
于湉	164069
赵奕欢	163218
刘心	161323
郭进	159861
梁博	159775
巫迪文	158749
权振东	158563
夏天Alex	158166
吉杰	157461
丁少华	157195
久石让	156978
丹戈尔	156657
乱感觉	156655
高胜美	156021
何建清	155145
爱朵女孩	155045
李佳薇	154340
潘美辰	154147
爸爸去哪儿	152894
HIT-5	152403
蒋雪儿	150299
佘曼妮	150261
于朦胧	148104
许仁杰	147555
曾一鸣	146209
曾春年	145441
小旺福	145270
郑国锋	145048
DJ伍洲彤	144429
EKEE	143496
张继聪	142426
江语晨	142118
陈乃荣	141042
李琦	140541
徐鸣飞	140447
大嘴巴	140353
快乐家族	140072
张敬轩	139902
姚贝娜	139570
王强	138697
刘嘉亮	138190
刘子千	137941
王伊锋	137648
何晟铭	137553
郭彤	136911
李准基	136713
李行亮	136440
孙辉	135912
上官晓懿	134644
周治平	134184
梅艳芳	134016
唐禹哲	133987
刘孟哲	133589
渔圈	132985
小5	132974
张峰奇	132203
凌晗	131897
刘家昌	131859
魏佳庆	130554
SimplePlan	130215
Nightwish	129654
痛仰乐队	129555
音频怪物	129433
曲泉丞	128671
BlackEyedPeas	128180
李紫涵	128037
颜小健	127809
原·味	127582
金波	126963
马蕊	126224
杨臣刚	123730
郑嘉嘉	123717
艾歌	122987
丁晓红	122907
许常德	122513
官恩娜	121994
田华	120916
太阳	120082
罗文裕	119301
GrooveCoverage	118899
李晟	118563
P!nk	118558
MeganandLiz	118511
河图	117882
张柏芝	117809
曾莺	117659
Cavo	117543
孙敬媛	117399
扎西顿珠	117011
带泪的鱼	116506
郑伊健	116395
火影忍者	116307
毕夏	115720
肖雅娴	115334
林奕匡	114864
华语群星	114805
徐子崴	114719
郑家维	113402
刘思伟	113219
毛宁	112968
姜涛	112466
Swing	112162
郭伟亮	112160
mc白浩	111925
李天华	111673
颜振豪	111321
名侦探柯南	111256
原子霏	110723
王子	110591
邱权	110547
海雷	110541
莫小娘	110316
王熹蛮	110314
海生	110284
陈奂仁	110247
T.O.P	108716
莫凡	107954
刘欢	107128
单小源	107083
PaulinaRubio	106914
叶熙祺	106846
南方二重唱	105919
阿里郎	105545
Lit	105519
MileyCyrus	105468
雷龙	105210
吴若希	105144
张恒远	104939
金俊浩	104658
南风	104599
陈美惠	104178
饶威	104061
Mi2	104056
赵姝	103581
蔡婷玉	103298
门丽	102986
杠宝	102665
王韵壹	102055
Henry	101237
苏仨	101236
王筝	100874
TFBOYS	100339
海鸣威	100175
王麟	99965
王瑞淇	99932
胡美仪	99891
蔡晓	99779
袁娅维	99450
DJ舞曲	99429
金在中	99184
阿桑	98816
叶恒秀	98752
许佳慧	98700
林宗兴	98675
龙军	98671
侃侃	98625
祝钒刚	98289
彭永琛	98012
叶文辉	97163
黑Girl	96208
Spexial	96080
茜拉	96001
唐嫣	95542
琪琪格	95541
张雨生	95368
刘飞	95240
AllenKibum	95100
胜屿	94926
布川	94923
吴日言	94836
KayaJones	94320
刘思涵	94049
何维健	93920
谭晴	93813
安七炫	93659
和秋香	93609
顾峰	93530
许诺	93498
Gala	93224
WillowSmith	93051
王冰洋	92691
吴琼（港台）	92674
李政曦	92621
小昔米	92210
胡灵	91518
王俊凯	90533
柯震东	89977
杨梓	89870
付静	89818
桑娜央金	89722
孙自佑	89701
花儿乐队	89621
张铁	89098
莫龙丹	89088
羽翘	89071
高保利	88771
卢广仲	88720
范世琦	88536
桐雨	88220
汪小敏	88120
刘悦	88078
仙剑奇侠传	87857
QQ飞车	87414
胜利(BigBang)	87220
张赫宣	87216
裴紫绮	86480
张冬玲	86409
继承者们	86293
宋娜	86078
王雅娴	85982
阿宝	85779
高娅媛	85077
DJ阿彦	85015
曾祖星	84986
邵斯文	84533
SelenaGomez	83771
海贼王	83763
石头剪子布	83688
DJ王帅	83188
终极一家	83035
李志洲	82366
魏如萱	82365
M2M	82132
贡维特	81963
东来东往	81712
李炳辰	81677
伊稀	81560
邓丽欣	81491
吴俊余	81157
刘亦菲	80782
顾莉雅	80652
丁浩然	80641
棉花糖	80563
袁姗姗	80409
李媛丽	80294
刘星雨	80179
家家（男）	80043
马希尔	79745
苏晴	79594
黄晓明	78838
葛林	78743
TheBeatles	78527
霍建华	78450
C.K	78282
倪雅丰	78132
Madonna	78037
伊诺	77694
DJYiXiu	77549
夏后	77252
侧田	77050
陈治	77023
温拿乐队	76891
安与骑兵	76693
来自星星的你	76665
夏炎	76367
褚乔	75920
郑智化	75704
张作甫	75604
DanceFlow	75585
莫艳琳	75561
杨乐	75431
朴一泽	75324
王烁巽	75288
刘尊	75012
马健涛	74639
紫萁	74191
韩雪	73374
陈汉	73268
刘艾迪	72872
DJ丁丁	72838
陈妍希	72729
张然聍	72651
赵薇	72630
黄夕倍	72530
VariousArtists	72460
李新贺	72428
快乐男声	72340
WhitneyHouston	72009
小峰峰	71984
云非非	71778
云菲菲	71778
步步惊心	71629
GreenDay	71367
伍咏薇	71168
霍尊	71112
娄艺潇	70754
SarahConnor	70744
金俊秀	70663
晓雯	70380
俞思远	70266
宋祖英	70154
终极一班	70072
侯强	69911
T.R.Y	69724
GiorgiaFumanti	69663
赵帆	69493
贯诗钦	69487
SelenaGomez+theScene	69441
秀才	68990
虞姬	68955
MariaArredondo	68823
马沂茹	68810
费玉清	68561
JenniferLopez	68149
李幸倪	67921
于玄子	67893
程响	67793
韩真真	67751
张木易	67709
JessieJ	67700
奈儿	67562
DJ李峙	67120
小凌	67115
笑傲江湖	67076
胡小宝	66985
田震	66980
伍佳丽	66941
罗琦	66794
文章	66779
大庆小芳	66668
柯羽	66499
佳宁组合	66436
蔡淳佳	66352
逃跑计划	66280
陶钰玉	65467
陈乔恩	65251
居来提	65138
穿越火线	65058
黄鸿升	64817
爱乐公社	64800
Coldplay	64662
秦时明月	64642
刘佳	64523
云朵	64221
七朵组合	63861
范冰冰	63829
新七小福	63801
袁野	63678
韩信	63435
陈爽	63244
李宥承	63052
藤兮	62821
刘涛	62788
Mc洪磊	62676
潘裕文	62338
雷诺儿	62150
王玉	62070
黄贯中	62010
张吉	61777
王启	61448
沼泽乐队	61303
钟舒祺	61296
JS	61155
索朗旺姆	61144
马郁	61140
OneRepublic	61127
王心如	60563
GleeCast	60552
王晨光	60312
李冬鹤	59804
孙俪	59704
李升基	59660
马海生	59327
辉灿	59273
张亮	59266
守护甜心	59231
金迈	59116
林霞	58878
FreeParty	58796
张玮琪	58758
杨晓珊	58381
BOBO	57860
童声	57751
卓义峰	57697
魏一宁	57669
樱高轻音部	57580
张地	57315
俞德荭	57221
陈赫	57193
马旭东	56989
地下城与勇士DNF	56905
程海星	56718
NickiMinaj	56652
少司命	56541
蔡旻佑	56540
马云龙	56507
子雷	56499
刘欣宜	56003
李玉波	55783
蔡琴	55509
程薇	55483
欧汉声	55452
小恩俊	55201
陈台证	54986
LMFAO	54748
刘晏辰	54555
萧萧	54448
阿正	54359
央金兰泽	54313
张悬	54233
影视原声	54167
迟志强	54064
郑永单	53968
周汤豪	53852
川子	53769
金钟国	53450
范世琪	53205
红布条	53165
耿琦	53132
刘颖	53073
张芯	52991
崔健（新人）	52899
